
2025/02/10 (04:35:21) | ===> btop++ v.1.4.0
2025/02/10 (04:35:21) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/10 (04:52:28) | ===> btop++ v.1.4.0
2025/02/10 (04:52:28) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/19 (00:26:24) | ===> btop++ v.1.4.0
2025/02/19 (00:26:24) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/19 (01:01:38) | ===> btop++ v.1.4.0
2025/02/19 (01:01:38) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/10 (15:45:27) | ===> btop++ v.1.4.0
2025/03/10 (15:45:27) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/25 (11:43:28) | ===> btop++ v.1.4.0
2025/03/25 (11:43:28) | WARNING: Intel GPU: Failed to initialize PMU
